hostname,community,access,access-list
uk-sc1-cs01,m0squ1t0,RO,10
uk-sc1-cs01,n1m50ft,RO,12
uk-sc1-cs01,wh1LLc0rp,RW,11
uk-sc1-cs01,5&prU$pAtu!H,RO,16
uk-sc1-cs01,A55a55inat3d,RO,20
uk-sc1-cs01,$n0Wd5c4nN3r,RO,22
uk-sc1-cs01,5wUxlDGU,RW,solarwinds-new
